hidden_layer_sizes,activation,learning_rate,lam,alpha,tol,batch_size,shuffle,max_iter,score
"[64, 64]",relu,0.01,0.0001,0.9,1e-05,64,True,3000,1.182931655820072
"[32, 32]",relu,0.1,5e-05,0.0,1e-05,64,False,3000,1.1830229272572683
"[64, 64]",relu,0.001,0.0,0.9,1e-05,32,False,3000,1.183392583535961
"[64, 64]",relu,0.01,0.0001,0.7,1e-05,32,True,3000,1.1835691709882332
"[32, 32]",relu,0.1,5e-05,0.7,1e-05,64,False,3000,1.1849500712517531
"[32, 32]",relu,0.01,0.0001,0.9,1e-05,64,True,3000,1.1850894830780223
"[64, 64]",relu,0.1,5e-05,0.9,1e-05,64,True,3000,1.1859397987850215
"[64, 64]",relu,0.01,0.0,0.0,1e-05,32,False,3000,1.1867973377959753
"[64, 64]",relu,0.01,0.0,0.9,1e-05,64,False,3000,1.1869349960956237
"[64, 64]",relu,0.05,5e-05,0.9,1e-05,64,False,3000,1.1872858457288908
"[64, 64]",relu,0.01,5e-05,0.0,1e-05,32,False,3000,1.187566448462012
"[64, 64]",relu,0.01,0.0001,0.9,1e-05,64,False,3000,1.1876072235421486
"[32, 32]",relu,0.003,0.0,0.0,1e-05,32,True,3000,1.188332058039452
"[64, 64]",relu,0.01,0.0001,0.7,1e-05,64,True,3000,1.188953872671552
"[32, 32]",relu,0.003,0.0,0.9,1e-05,64,False,3000,1.1896951923074517
"[64, 64]",relu,0.1,5e-05,0.7,1e-05,64,True,3000,1.19183130591488
"[32, 32]",relu,0.01,0.0001,0.9,1e-05,64,False,3000,1.192521015661817
"[64, 64]",relu,0.001,0.0,0.9,1e-05,32,True,3000,1.1929299285481825
"[64, 64]",relu,0.001,0.0,0.7,1e-05,32,True,3000,1.1938956397959046
"[32, 32]",relu,0.01,5e-05,0.0,1e-05,32,False,3000,1.195447000512685
"[64, 64]",relu,0.003,0.0,0.0,1e-05,64,True,3000,1.1964861475240134
"[32, 32]",relu,0.003,0.0,0.7,1e-05,64,True,3000,1.1964880277253989
"[64, 64]",relu,0.1,5e-05,0.7,1e-05,64,False,3000,1.1984208332476811
